KO RN CPD CKO
ko:K00170 rn:R08034 C16396;C16399 CKO56
ko:K00171 rn:R08034 C16396;C16399 CKO56
ko:K00172 rn:R08034 C16396;C16399 CKO56
ko:K00196 rn:R08034 C16396;C16399 CKO56
ko:K00198 rn:R08034 C16396;C16399 CKO56
ko:K06281 rn:R08034 C16396;C16399 CKO56
ko:K06282 rn:R08034 C16396;C16399 CKO56
ko:K00181 rn:R11201 C21072 CKO57
ko:K00186 rn:R07160 C00630 CKO58
ko:K00187 rn:R07160 C00630 CKO58
ko:K00188 rn:R07160 C00630 CKO58
ko:K00189 rn:R07160 C00630 CKO58
ko:K16036 rn:R09854 C00630 CKO58
ko:K00186 rn:R08566 C02939 CKO59
ko:K00187 rn:R08566 C02939 CKO59
ko:K00188 rn:R08566 C02939 CKO59
ko:K00189 rn:R08566 C02939 CKO59
ko:K00186 rn:R08567 C15980 CKO60
ko:K00187 rn:R08567 C15980 CKO60
ko:K00188 rn:R08567 C15980 CKO60
ko:K00189 rn:R08567 C15980 CKO60
ko:K00192 rn:R07157 C00011;C00237 CKO61
ko:K00195 rn:R07157 C00011;C00237 CKO61
ko:K00196 rn:R07157 C00011;C00237 CKO61
ko:K00198 rn:R07157 C00011;C00237 CKO61
ko:K03518 rn:R11168 C00011;C00237 CKO61
ko:K03519 rn:R11168 C00011;C00237 CKO61
ko:K03520 rn:R11168 C00011;C00237 CKO61
ko:K00200 rn:R03015 C00862;C01001 CKO62
ko:K00201 rn:R03015 C00862;C01001 CKO62
ko:K00202 rn:R03015 C00862;C01001 CKO62
ko:K00203 rn:R03015 C00862;C01001 CKO62
ko:K00204 rn:R03015 C00862;C01001 CKO62
ko:K00205 rn:R03015 C00862;C01001 CKO62
ko:K11260 rn:R03015 C00862;C01001 CKO62
ko:K11261 rn:R03015 C00862;C01001 CKO62
ko:K00200 rn:R08060 C00862;C01001 CKO62
ko:K00201 rn:R08060 C00862;C01001 CKO62
ko:K00202 rn:R08060 C00862;C01001 CKO62
ko:K00203 rn:R08060 C00862;C01001 CKO62
ko:K00204 rn:R08060 C00862;C01001 CKO62
ko:K00205 rn:R08060 C00862;C01001 CKO62
ko:K11260 rn:R08060 C00862;C01001 CKO62
ko:K11261 rn:R08060 C00862;C01001 CKO62
ko:K00672 rn:R03390 C00862;C01001 CKO62
ko:K00202 rn:R11743 C21621;C21629 CKO63
ko:K00203 rn:R11743 C21621;C21629 CKO63
ko:K00204 rn:R11743 C21621;C21629 CKO63
ko:K00205 rn:R11743 C21621;C21629 CKO63
ko:K11260 rn:R11743 C21621;C21629 CKO63
ko:K11261 rn:R11743 C21621;C21629 CKO63
ko:K00213 rn:R07487 C08821;C15783 CKO64
ko:K00213 rn:R07492 C15780;C15781 CKO65
ko:K00226 rn:R01867 C00042;C00122 CKO66
ko:K00234 rn:R02164 C00042;C00122 CKO66
ko:K00235 rn:R02164 C00042;C00122 CKO66
ko:K00236 rn:R02164 C00042;C00122 CKO66
ko:K00237 rn:R02164 C00042;C00122 CKO66
ko:K00239 rn:R02164 C00042;C00122 CKO66
ko:K00240 rn:R02164 C00042;C00122 CKO66
ko:K00241 rn:R02164 C00042;C00122 CKO66
ko:K00242 rn:R02164 C00042;C00122 CKO66
ko:K00244 rn:R02164 C00042;C00122 CKO66
ko:K00245 rn:R02164 C00042;C00122 CKO66
ko:K00246 rn:R02164 C00042;C00122 CKO66
ko:K00247 rn:R02164 C00042;C00122 CKO66
ko:K18859 rn:R02164 C00042;C00122 CKO66
ko:K18860 rn:R02164 C00042;C00122 CKO66
ko:K00227 rn:R07215 C01164;C01189 CKO67
ko:K00227 rn:R07486 C15782;C15783 CKO68
ko:K00227 rn:R07491 C15777;C15780 CKO69
ko:K00227 rn:R07505 C15777;C15778 CKO70
ko:K00228 rn:R03220 C01079;C03263 CKO71
ko:K00230 rn:R09489 C00828;C05819 CKO72
ko:K02826 rn:R09492 C00828;C05819 CKO72
ko:K02827 rn:R09492 C00828;C05819 CKO72
ko:K02828 rn:R09492 C00828;C05819 CKO72
ko:K02829 rn:R09492 C00828;C05819 CKO72
ko:K07306 rn:R09501 C00828;C05819 CKO72
ko:K07307 rn:R09501 C00828;C05819 CKO72
ko:K07308 rn:R09501 C00828;C05819 CKO72
ko:K08352 rn:R10149 C00828;C05819 CKO72
ko:K08353 rn:R10149 C00828;C05819 CKO72
ko:K08354 rn:R10149 C00828;C05819 CKO72
ko:K00231 rn:R03222 C01079;C02191 CKO73
ko:K00231 rn:R04178 C03263;C05770 CKO74
ko:K00232 rn:R01175 C00136;C00877 CKO75
ko:K00248 rn:R01175 C00136;C00877 CKO75
ko:K00249 rn:R01175 C00136;C00877 CKO75
ko:K06445 rn:R01175 C00136;C00877 CKO75
ko:K09478 rn:R01175 C00136;C00877 CKO75
ko:K00232 rn:R01279 C00154;C05272 CKO76
ko:K00249 rn:R01279 C00154;C05272 CKO76
ko:K00255 rn:R01279 C00154;C05272 CKO76
ko:K06445 rn:R01279 C00154;C05272 CKO76
ko:K09479 rn:R01279 C00154;C05272 CKO76
ko:K00232 rn:R03777 C01944;C05276 CKO77
ko:K00249 rn:R03777 C01944;C05276 CKO77
ko:K00255 rn:R03777 C01944;C05276 CKO77
ko:K06445 rn:R03777 C01944;C05276 CKO77
ko:K00232 rn:R03857 C01832;C03221 CKO78
ko:K00249 rn:R03857 C01832;C03221 CKO78
ko:K00255 rn:R03857 C01832;C03221 CKO78
ko:K06445 rn:R03857 C01832;C03221 CKO78
ko:K00232 rn:R03990 C02593;C05273 CKO79
ko:K00249 rn:R03990 C02593;C05273 CKO79
ko:K00255 rn:R03990 C02593;C05273 CKO79
ko:K06445 rn:R03990 C02593;C05273 CKO79
ko:K00232 rn:R04751 C05270;C05271 CKO80
ko:K00248 rn:R04751 C05270;C05271 CKO80
ko:K00249 rn:R04751 C05270;C05271 CKO80
ko:K00255 rn:R04751 C05270;C05271 CKO80
ko:K06445 rn:R04751 C05270;C05271 CKO80
ko:K09478 rn:R04751 C05270;C05271 CKO80
ko:K00232 rn:R04754 C05274;C05275 CKO81
ko:K00249 rn:R04754 C05274;C05275 CKO81
ko:K00255 rn:R04754 C05274;C05275 CKO81
ko:K06445 rn:R04754 C05274;C05275 CKO81
ko:K00232 rn:R07888 C16327;C16328 CKO82
ko:K00232 rn:R07892 C16331;C16332 CKO83
ko:K00232 rn:R07896 C16335;C16336 CKO84
ko:K00232 rn:R07934 C16168;C16374 CKO85
ko:K00232 rn:R07950 C16172;C16387 CKO86
ko:K00248 rn:R01178 C20675;C20676 CKO87
ko:K00248 rn:R02661 C00630;C03460 CKO88
ko:K00249 rn:R02661 C00630;C03460 CKO88
ko:K09478 rn:R02661 C00630;C03460 CKO88
ko:K11410 rn:R02661 C00630;C03460 CKO88
ko:K11538 rn:R02661 C00630;C03460 CKO88
ko:K00248 rn:R03172 C03345;C15980 CKO89
ko:K00249 rn:R03172 C03345;C15980 CKO89
ko:K09478 rn:R03172 C03345;C15980 CKO89
ko:K11410 rn:R03172 C03345;C15980 CKO89
ko:K00249 rn:R00924 C00894 CKO90
ko:K00249 rn:R04432 C00894 CKO90
ko:K00249 rn:R04095 C00016;C01352 CKO91
ko:K00253 rn:R04095 C00016;C01352 CKO91
ko:K00252 rn:R02487 C00016;C01352 CKO91
ko:K00257 rn:R04547 C00016;C01352 CKO91
ko:K00257 rn:R04592 C00016;C01352 CKO91
ko:K10209 rn:R07653 C00016;C01352 CKO91
ko:K10209 rn:R09690 C00016;C01352 CKO91
ko:K10209 rn:R09719 C00016;C01352 CKO91
ko:K10209 rn:R09744 C00016;C01352 CKO91
ko:K10209 rn:R09745 C00016;C01352 CKO91
ko:K10209 rn:R09746 C00016;C01352 CKO91
ko:K14257 rn:R05456 C00016;C01352 CKO91
ko:K14257 rn:R11106 C00016;C01352 CKO91
ko:K14266 rn:R09570 C00016;C01352 CKO91
ko:K14481 rn:R05488 C00016;C01352 CKO91
ko:K14482 rn:R05488 C00016;C01352 CKO91
ko:K14586 rn:R06902 C00016;C01352 CKO91
ko:K15245 rn:R05446 C00016;C01352 CKO91
ko:K15246 rn:R05446 C00016;C01352 CKO91
ko:K15245 rn:R05447 C00016;C01352 CKO91
ko:K15246 rn:R05447 C00016;C01352 CKO91
ko:K15245 rn:R05449 C00016;C01352 CKO91
ko:K15246 rn:R05449 C00016;C01352 CKO91
ko:K20035 rn:R11130 C00016;C01352 CKO91
ko:K00251 rn:R02215 C00410;C05479 CKO92
ko:K00252 rn:R02488 C00527;C00877 CKO93
ko:K00252 rn:R10074 C00527;C02411 CKO94
ko:K16173 rn:R05579 C00527;C02411 CKO94
ko:K00254 rn:R01868 C00295;C00337 CKO95
ko:K00272 rn:R00359 C00036;C00402 CKO96
ko:K00273 rn:R00366 C00037;C00048 CKO97
ko:K00839 rn:R10908 C00037;C00048 CKO97
ko:K00273 rn:R02457 C00515;C01110 CKO98
ko:K00824 rn:R02459 C00515;C01110 CKO98
ko:K00273 rn:R02894 C00763;C03564 CKO99
ko:K17851 rn:R09496 C00763;C03564 CKO99
ko:K00273 rn:R02923 C00792;C03771 CKO100
ko:K00824 rn:R02924 C00792;C03771 CKO100
ko:K19746 rn:R11018 C00792;C03771 CKO100
ko:K00273 rn:R04221 C03440;C04282 CKO101
ko:K21060 rn:R11428 C03440;C04282 CKO101
ko:K21061 rn:R11428 C03440;C04282 CKO101
ko:K22549 rn:R11428 C03440;C04282 CKO101
ko:K22550 rn:R11428 C03440;C04282 CKO101
ko:K00273 rn:R07400 C00916;C04712 CKO102
ko:K00274 rn:R02173 C00398;C00637 CKO103
ko:K11182 rn:R02173 C00398;C00637 CKO103
